code_circo,code_dpt,circo,departement,candidat,genre,site
974_2,974,2,La Réunion,Marie-Line HOARAU,F,https://fnlegislatives.fr/candidats/marie-line-hoarau/
974_5,974,5,La Réunion,Marie-Luce BRASIER-CLAIN,F,https://fnlegislatives.fr/candidats/marie-luce-brasier-clain-2/
94_8,94,8,Val-de-Marne,Marie-Odile ENON,F,https://fnlegislatives.fr/candidats/marie-odile-enon/
88_3,88,3,Vosges,Marina Do Santos,F,https://fnlegislatives.fr/candidats/marina-dos-santos/
23_1,23,1,Creuse,Martial MAUME,H,https://fnlegislatives.fr/candidats/martial-maume/
94_10,94,10,Val-de-Marne,Martine BLANLUETTE,F,https://fnlegislatives.fr/candidats/martine-blanluette-2/
94_10,94,10,Val-de-Marne,Martine BLANLUETTE,F,https://fnlegislatives.fr/candidats/martine-blanluette/
79_1,79,1,Deux-Sèvres,Martine GENDRY,F,https://fnlegislatives.fr/candidats/martine-gendry/
78_11,78,11,Yvelines,Mathilde ANDROUËT,F,https://fnlegislatives.fr/candidats/mathilde-androuet/
41_2,41,2,Loir-et-Cher,Mathilde Paris,F,https://fnlegislatives.fr/candidats/mathilde-paris/
70_2,70,2,Haute-Saône,Maurice MONNIER,H,https://fnlegislatives.fr/candidats/maurice-monnier/
93_10,93,10,Seine-Saint-Denis,Maurice Puisard,H,https://fnlegislatives.fr/candidats/maurice-puisard/
59_18,59,18,Nord,Mélanie DISDIER,F,https://fnlegislatives.fr/candidats/melanie-disdier/
75_16,75,16,Paris,Michel BULTÉ,H,https://fnlegislatives.fr/candidats/michel-bulte/
92_13,92,13,Hauts-de-Seine,Michel GEORGET,H,https://fnlegislatives.fr/candidats/michel-georget/
60_6,60,6,Oise,Michel GUINIOT,H,https://fnlegislatives.fr/candidats/michel-guiniot/
03_1,3,1,Allier,Michèle CIUCH,F,https://fnlegislatives.fr/candidats/michele-ciuch/
31_6,31,6,Haute-Garonne,Michèle PELLIZZON,F,https://fnlegislatives.fr/candidats/michele-pellizzon/
75_18,75,18,Paris,Michelle THIMOTTE,F,https://fnlegislatives.fr/candidats/michelle-thimotte/
29_8,29,8,Finistère,Mikaël Caréo,H,https://fnlegislatives.fr/candidats/mikael-careo/
95_9,95,9,Val-d'Oise,Mikael SALA,H,https://fnlegislatives.fr/candidats/mikael-sala/
91_5,91,5,Essonne,Milvia Mangano,F,https://fnlegislatives.fr/candidats/mangano-milvia/
53_3,53,3,Mayenne,Monique MORAND,F,https://fnlegislatives.fr/candidats/monique-morand/
38_5,38,5,Isère,Muriel BURGAZ,F,https://fnlegislatives.fr/candidats/muriel-burgaz/
69_12,69,12,Rhône,Muriel Coativy,F,https://fnlegislatives.fr/candidats/muriel-coativy/
60_4,60,4,Oise,Mylène TROSZCZYNSKI,F,https://fnlegislatives.fr/candidats/mylene-troszczynski/
45_6,45,6,Loiret,Myriam BACHIR,F,https://fnlegislatives.fr/candidats/myriam-bachir/
45_2,45,2,Loiret,Nadine BOISGERAULT,F,https://fnlegislatives.fr/candidats/nadine-boisgerault/
999_5,999,5,Français établis hors de France,Natacha BARRAL,F,https://fnlegislatives.fr/candidats/natacha-barral/
59_11,59,11,Nord,Nathalie ACS,F,https://fnlegislatives.fr/candidats/nathalie-acs/
13_14,13,14,Bouches-du-Rhône,Nathalie CHEVILLARD,F,https://fnlegislatives.fr/candidats/nathalie-chevillard/
74_3,74,3,Haute-Savoie,Nathalie GENAND,F,https://fnlegislatives.fr/candidats/nathalie-genand/
87_1,87,1,Haute-Vienne,Nathalie GÉRARD,F,https://fnlegislatives.fr/candidats/nathalie-gerard/
999_8,999,8,Français établis hors de France,Nathalie Jorge-Laick,F,https://fnlegislatives.fr/candidats/nathalie-jorge-laick/
91_6,91,6,Essonne,Nathalie PAULIN,F,https://fnlegislatives.fr/candidats/nathalie-paulin/
06_9,6,9,Alpes-Maritimes,Nathalie Pavard,F,https://fnlegislatives.fr/candidats/nathalie-pavard/
32_1,32,1,Gers,Nathalie PIERREISNARD,F,https://fnlegislatives.fr/candidats/nathalie-pierreisnard/
71_4,71,4,Saône-et-Loire,Nathalie Szych,F,https://fnlegislatives.fr/candidats/nathalie-szych/
80_2,80,2,Somme,Nicolas VERSAEN,H,https://fnlegislatives.fr/candidats/nicolas-versaen/
71_1,71,1,Saône-et-Loire,Nicole CABOCHE,F,https://fnlegislatives.fr/candidats/nicole-caboche/
92_9,92,9,Hauts-de-Seine,Nina SMARANDI,F,https://fnlegislatives.fr/candidats/nina-smarandi/
22_2,22,2,Côtes-d'Armor,Odile de MELLON,F,https://fnlegislatives.fr/candidats/odile-de-mellon/
07_2,7,2,Ardèche,Odile Lasfargues-Bouyon,F,https://fnlegislatives.fr/candidats/odile-lasfargues-bouyon/
95_4,95,4,Val-d'Oise,Olivia NALPAS,F,https://fnlegislatives.fr/candidats/olivia-nalpas/
65_2,65,2,Hautes-Pyrénées,Olivier Monteil,H,https://fnlegislatives.fr/candidats/olivier-monteil/
