code_circo,Titulaire,TG,Suppléant,SG,code_dpt,circo
78_11,Sylvie Rider,F,Mathurin Levis,H,78,11
78_12,Antoine Baro,H,Sabrina Assraoui,F,78,12
78_2,Marc Soriano,H,Anne Theunissen,F,78,2
78_3,Alexandre Langlois,H,Aurélie Dambry,F,78,3
78_4,Faustine Huet,F,Sélim Bouchareb,H,78,4
78_5,Sophie THEVENET,, ,,78,5
78_6,Nelly Pascaud,, ,,78,6
78_7,Estelle Andrin,F,Paul Deboutin,H,78,7
78_8,Majid Eddaïkhane,H, ,,78,8
78_9,Marie-Anne Moynacq,F,Elena Petrova,H,78,9
79_1,Nathalie SEGUIN,F,Karine Olivier,H,79,1
79_2,Yannick Maillou,H,Jocelyne Benard,F,79,2
79_3,Philippe Cochard,H,Anne Maugard,F,79,3
80_1,,,,,80,1
80_2,Cédric Maisse,H,Brigitte Devauchelle,F,80,2
80_3,Isabelle BRUSADELLI-DORION,F,DAVID Pauchet,H,80,3
80_4,Caroline Vincent,F,Christophe Hertout,H,80,4
80_5,Olivier Spinelli,H,Emmanuelle Alarcon Garcia,F,80,5
81_1,Tinhinane Hadji,F,Daniel Caors,H,81,1
81_2,Thomas Domenech,H,Roxana Farina Concha,F,81,2
81_3,Maud Forgeot,F,Noël Mira,H,81,3
82_1,Marie-Lyne Nadal,F,Jean-Claude Madaule,H,82,1
82_2,Ivan Jacquemard,H,Céline Tainturier,F,82,2
83_1,Luc Léandri,H,Laura Golygowski,F,83,1
83_2,Michel Lagréca,H,Odile bozane,F,83,2
83_3,Danielle Lapierre,F,Yannick Perrot,H,83,3
83_4,Eric Habouzit,H, ,,83,4
83_5,Catherine Aubry,F,Julien Poussin,H,83,5
83_6,Jill Caziconstantinos,F,jill caziconstantinos,H,83,6
83_7,Laurent Richard,H,Marion Canavera,F,83,7
83_8,Patricia Massis Callet,F, ,,83,8
84_1,Amandine Laugier,F,Vincent Delahaye,H,84,1
84_2,Laurent Thérond,H,Aurélia MARIE-SAINTE,F,84,2
84_3,Laurence Cermolacce-Boissier,F,José Robert,H,84,3
84_4,Farid Faryssy,H,Isabelle Bruet,F,84,4
84_5,Stéphane CHOTARD,H,Annie Roiron,F,84,5
85_1,Gwenaëlle  Grietens,F,Jacques Reboulleau,H,85,1
85_2,Anne-Lise Redais,F,Dominique Chevolleau,H,85,2
85_3,Alain Darmey,H, ,,85,3
85_4,Anita LAVERGNE,F,Arnaud Perherin,H,85,4
85_5,,,,,85,5
86_1,Céline Cuvillier,F,Kioumars Thomas SAHABI,H,86,1
86_2,Frédéric Abrachkoff,H,Cécile THOBIE,F,86,2
86_3,Marie-josé Cellot,F,Rodolphe CACAULT,H,86,3
86_4,Aurélie Saulnier,, ,,86,4
87_1,Danielle Soury,F,Rémy Cholat,H,87,1
87_2,Hubert Hurard,H,Marie Labat,F,87,2
87_3,Pierre-Edouard Pialat,H,Patricia Marcoux Lestieux,F,87,3
88_1,Fabrice Pisias,H,Virginie Gerardin,F,88,1
88_2,Sylvain CALBRIX,H,Isabelle Arnould,F,88,2
88_3,Christine Bourbon-Schmitt,F,Damien Malavelle,H,88,3
88_4,,,,,88,4
89_1,Mathieu De Burghrave,H,Pascale Kaim,F,89,1
89_2,Philippe Collin,H, ,F,89,2
89_3,Isabelle Michaud,F,Yoann Toupet,H,89,3
90_1,Anaïs Beltran,F,Emmanuel Petitjean,H,90,1
90_2,Laurent Soler,H,Anastasia Sivan,F,90,2
91_1,Farida Amrani,F,Ulysse Rabaté,H,91,1
91_10,Charlotte Girard,F,Pascal Troadec,H,91,10
91_2,Michaël Goasdoué,H,Maële Vincensini,F,91,2
91_3,Virginie Araujo,F,Vincent Vergeron,H,91,3
91_4,Bernard Terris,H,Christine Duval,F,91,4
91_5,Sylvère Cala,H,Frédérique Dumont,F,91,5
91_6,Philippe Juraver,H,Cécile MUNCH,F,91,6
91_7,Mounia Benaili,F,Vivien Rebière,H,91,7
91_8,Mai-Ly Khan,F,Jérôme Flament,H,91,8
91_9,ANNE JOURNEL,F, ,,91,9
92_1,AbdelNasser Lajili,H, ,,92,1
92_10,,,,,92,10
92_11,,,,,92,11
92_12,Victor Germain,H,Madeleine Bahloul,F,92,12
92_13,Nicolas Lasgi,H,Julie Cazalet,F,92,13
92_2,Nino Schillaci,H,Véronique Haab,F,92,2
92_3,Virginie Kenler,F,Bertrand Perrotte,H,92,3
92_4,Rossana Morain,F,Mhamed Kaki,H,92,4
92_5,Aissa Terchi,H,Sophie Hermange,F,92,5
92_6,Josué Hantoni de Biasi,H,Adeline Chenon Ramlat,F,92,6
92_7,,,,,92,7
92_8,Annette Benmussa,F,Henri Borsenberger,H,92,8
92_9,CHRISTEL MILHAVET,F,Gregory François,H,92,9
93_1,Eric Coquerel,H, ,,93,1
93_10,Ambre Froment,F,Joseph Pace,H,93,10
93_11,,,,,93,11
93_12,,,,,93,12
93_2,,,,,93,13
93_3,Dominique Delaunay,F,Mathieu Vallet,H,93,3
93_4,,,,,93,4
93_5,Ugo Portier,H,Rozenn Gueguen Caruso,F,93,5
93_6,,,,,93,6
93_7,Alexis Corbière,H,Corinne Benabdallah,F,93,7
93_8,Maxence Albespy,H,Heloise Joly,F,93,8
93_9,Sabine Rubin,F,Charles Alonso,H,93,9
94_1,Thierry N'kaoua,H,Claire Giardelli,F,94,1
94_10,Mathilde Panot,F,Mourad Tagzout,H,94,10
94_11,Djamel Arrouche,H,Soulef Bergougnoux,F,94,11
94_2,François Cocq,H, ,,94,2
94_3,Nicolas Georges,H,Jocelyne Pigrée,F,94,3
